id,primaryTitle,nconst
371859,The Social Network,Andrew Garfield
370114,X-Men: First Class,Kevin Bacon
370112,X-Men: First Class,James McAvoy
370113,X-Men: First Class,Michael Fassbender
295772,Million Dollar Baby,Morgan Freeman
295771,Million Dollar Baby,Clint Eastwood
295773,Million Dollar Baby,Jay Baruchel
383736,Prisoners,Jake Gyllenhaal
383735,Prisoners,Hugh Jackman
159345,Trainspotting,Jonny Lee Miller
159343,Trainspotting,Ewan McGregor
383016,Suicide Squad,Will Smith
383017,Suicide Squad,Jared Leto
395541,The King's Speech,Colin Firth
395542,The King's Speech,Geoffrey Rush
457263,Arrival,Jeremy Renner
457265,Arrival,Michael Stuhlbarg
457264,Arrival,Forest Whitaker
157309,Fargo,Peter Stormare
157308,Fargo,Steve Buscemi
157307,Fargo,William H. Macy
429945,Thor: The Dark World,Stellan Skarsgard
429943,Thor: The Dark World,Chris Hemsworth
429944,Thor: The Dark World,Tom Hiddleston
408028,Edge of Tomorrow,Brendan Gleeson
408027,Edge of Tomorrow,Bill Paxton
408026,Edge of Tomorrow,Tom Cruise
428515,The Hunger Games: Catching Fire,Philip Seymour Hoffman
428513,The Hunger Games: Catching Fire,Josh Hutcherson
428514,The Hunger Games: Catching Fire,Liam Hemsworth
463864,Kingsman: The Secret Service,Samuel L. Jackson
463863,Kingsman: The Secret Service,Taron Egerton
463862,Kingsman: The Secret Service,Colin Firth
463865,Kingsman: The Secret Service,Michael Caine
108597,Apocalypse Now,Martin Sheen
108598,Apocalypse Now,Marlon Brando
108599,Apocalypse Now,Robert Duvall
325136,World War Z,Brad Pitt
325137,World War Z,James Badge Dale
491370,Guardians of the Galaxy Vol. 2,Dave Bautista
491369,Guardians of the Galaxy Vol. 2,Chris Pratt
491371,Guardians of the Galaxy Vol. 2,Vin Diesel
288633,Casino Royale,Jeffrey Wright
288632,Casino Royale,Daniel Craig
358638,The Hobbit: The Desolation of Smaug,Martin Freeman
358637,The Hobbit: The Desolation of Smaug,Ian McKellen
410732,Now You See Me,Woody Harrelson
410731,Now You See Me,Mark Ruffalo
410729,Now You See Me,Jesse Eisenberg
315782,Ant-Man,Michael Douglas
315781,Ant-Man,Paul Rudd
332474,The Amazing Spider-Man,Irrfan Khan
332473,The Amazing Spider-Man,Rhys Ifans
332472,The Amazing Spider-Man,Andrew Garfield
154301,Heat,Al Pacino
154303,Heat,Val Kilmer
154304,Heat,Jon Voight
154302,Heat,Robert De Niro
308059,Pirates of the Caribbean: At World's End,Orlando Bloom
308060,Pirates of the Caribbean: At World's End,Geoffrey Rush
308058,Pirates of the Caribbean: At World's End,Johnny Depp
264090,Spider-Man 2,Tobey Maguire
264091,Spider-Man 2,Alfred Molina
264092,Spider-Man 2,James Franco
305996,The Bourne Ultimatum,Edgar Ramirez
305995,The Bourne Ultimatum,Matt Damon
299368,Transformers,Josh Duhamel
299369,Transformers,Tyrese Gibson
299367,Transformers,Shia LaBeouf
444176,Spider-Man: Homecoming,Robert Downey Jr.
444174,Spider-Man: Homecoming,Tom Holland
444175,Spider-Man: Homecoming,Michael Keaton
334580,Sherlock Holmes,Robert Downey Jr.
334581,Sherlock Holmes,Jude Law
334582,Sherlock Holmes,Mark Strong
457796,Birdman or (The Unexpected Virtue of Ignorance),Edward Norton
457795,Birdman or (The Unexpected Virtue of Ignorance),Zach Galifianakis
457794,Birdman or (The Unexpected Virtue of Ignorance),Michael Keaton
322354,Drive,Ryan Gosling
322356,Drive,Albert Brooks
322355,Drive,Bryan Cranston
255694,Harry Potter and the Chamber of Secrets,Rupert Grint
255695,Harry Potter and the Chamber of Secrets,Richard Harris
255693,Harry Potter and the Chamber of Secrets,Daniel Radcliffe
258771,Harry Potter and the Prisoner of Azkaban,Daniel Radcliffe
258772,Harry Potter and the Prisoner of Azkaban,Rupert Grint
321058,Into the Wild,Vince Vaughn
321057,Into the Wild,Emile Hirsch
456903,Star Wars: Episode VIII - The Last Jedi,Mark Hamill
456902,Star Wars: Episode VIII - The Last Jedi,John Boyega
155933,12 Monkeys,Brad Pitt
155932,12 Monkeys,Bruce Willis
269131,Harry Potter and the Goblet of Fire,Daniel Radcliffe
269132,Harry Potter and the Goblet of Fire,Rupert Grint
338612,Argo,Alan Arkin
338611,Argo,John Goodman
338610,Argo,Bryan Cranston
338609,Argo,Ben Affleck
466065,John Wick,Michael Nyqvist
466067,John Wick,Willem Dafoe
466064,John Wick,Keanu Reeves
163113,X-Men,Patrick Stewart
163114,X-Men,Hugh Jackman
163115,X-Men,Ian McKellen
323398,Star Trek,Leonard Nimoy
